,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
1,50030,21.0,0.0,2.0,7.0,9.0,AT,90.0,0.0,2.0,8.0,3.0,0.0,6.0,1.0,0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,168.0,74.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,6.0,6.0,4.0,1.0,1.0,2.0,7.0,10.0
2,50057,53.0,8.0,2.0,4.0,9.0,AT,30.0,9.0,1.0,9.0,3.0,1.0,3.0,3.0,0,4.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,180.0,95.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,7.0,5.0,8.0,4.0,1.0,6.0,6.0,5.0
3,50106,78.0,6.0,3.0,6.0,7.0,AT,15.0,6.0,3.0,10.0,3.0,0.0,3.0,1.0,0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,6.0,7.0,167.0,70.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,5.0,6.0,9.0,3.0,2.0,4.0,6.0,5.0
4,50145,64.0,1.0,2.0,5.0,9.0,AT,60.0,3.0,2.0,10.0,1.0,0.0,7.0,2.0,1,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,168.0,67.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,8.0,8.0,5.0,1.0,6.0,8.0,9.0
5,50158,59.0,3.0,2.0,6.0,8.0,AT,120.0,8.0,1.0,8.0,2.0,0.0,1.0,2.0,0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,5.0,2.0,155.0,60.0,4.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,5.0,7.0,5.0,1.0,4.0,3.0,3.0
7,50212,69.0,6.0,1.0,4.0,8.0,AT,120.0,8.0,2.0,10.0,2.0,0.0,4.0,2.0,0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,171.0,94.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,5.0,9.0,9.0,9.0,7.0,1.0,6.0,8.0,6.0
8,50213,52.0,5.0,3.0,4.0,8.0,AT,20.0,8.0,2.0,8.0,2.0,0.0,1.0,3.0,0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,167.0,68.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,6.0,7.0,8.0,3.0,1.0,6.0,8.0,9.0
9,50235,75.0,10.0,2.0,3.0,7.0,AT,120.0,4.0,2.0,10.0,2.0,0.0,1.0,2.0,0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,164.0,56.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,8.0,8.0,10.0,8.0,1.0,7.0,7.0,8.0
10,50236,44.0,6.0,1.0,4.0,8.0,AT,60.0,5.0,2.0,10.0,2.0,0.0,2.0,1.0,0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,5.0,4.0,162.0,54.0,3.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,6.0,8.0,8.0,6.0,1.0,6.0,6.0,6.0
11,50238,49.0,8.0,2.0,4.0,5.0,AT,5.0,7.0,2.0,7.0,2.0,0.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,6.0,4.0,187.0,77.0,4.0,5.0,0.0,1.0,2.0,1.0,2.0,3.0,6.0,9.0,9.0,3.0,2.0,6.0,9.0,8.0
12,50240,63.0,9.0,3.0,6.0,7.0,AT,60.0,7.0,2.0,8.0,1.0,1.0,4.0,2.0,0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,160.0,60.0,4.0,5.0,1.0,2.0,2.0,0.0,5.0,5.0,6.0,4.0,4.0,9.0,1.0,9.0,7.0,8.0
13,50248,76.0,8.0,2.0,4.0,8.0,AT,90.0,5.0,3.0,10.0,2.0,0.0,1.0,2.0,0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,6.0,4.0,169.0,57.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,5.0,7.0,0.0,2.0,6.0,0.0,7.0
15,50281,67.0,7.0,1.0,6.0,9.0,AT,180.0,8.0,1.0,8.0,2.0,0.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,4.0,7.0,165.0,70.0,5.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,6.0,7.0,2.0,1.0,6.0,7.0,0.0
16,50310,41.0,4.0,1.0,6.0,10.0,AT,20.0,8.0,1.0,10.0,1.0,0.0,6.0,4.0,1,3.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,6.0,3.0,179.0,68.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,1.0,7.0,9.0,9.0,6.0,1.0,2.0,7.0,7.0
17,50311,82.0,4.0,2.0,2.0,8.0,AT,45.0,5.0,2.0,6.0,1.0,0.0,2.0,2.0,0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,4.0,6.0,4.0,156.0,51.0,5.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,4.0,4.0
18,50324,26.0,0.0,4.0,2.0,8.0,AT,5.0,2.0,1.0,1.0,1.0,0.0,7.0,2.0,1,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,7.0,6.0,4.0,185.0,95.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,1.0,1.0,4.0,8.0,4.0
21,50349,72.0,8.0,2.0,5.0,7.0,AT,60.0,7.0,2.0,9.0,1.0,0.0,1.0,2.0,1,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,7.0,6.0,5.0,170.0,75.0,4.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,4.0,6.0,6.0,1.0,7.0,7.0,5.0
22,50355,31.0,0.0,3.0,6.0,5.0,AT,30.0,5.0,1.0,8.0,2.0,0.0,7.0,1.0,1,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,188.0,76.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0
23,50358,47.0,1.0,1.0,6.0,8.0,AT,60.0,6.0,1.0,9.0,2.0,0.0,6.0,4.0,1,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,2.0,181.0,82.0,5.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
25,50367,60.0,10.0,1.0,4.0,8.0,AT,240.0,9.0,3.0,10.0,2.0,0.0,1.0,1.0,0,6.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,7.0,172.0,85.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,7.0,0.0,1.0,2.0,3.0,7.0
26,50375,43.0,5.0,3.0,4.0,8.0,AT,30.0,7.0,2.0,8.0,2.0,0.0,2.0,3.0,0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,7.0,167.0,59.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,7.0,8.0,4.0,1.0,6.0,8.0,8.0
27,50380,41.0,5.0,2.0,6.0,8.0,AT,30.0,3.0,2.0,10.0,2.0,0.0,5.0,3.0,0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,171.0,83.0,5.0,4.0,1.0,1.0,2.0,0.0,3.0,4.0,2.0,6.0,8.0,0.0,1.0,6.0,2.0,9.0
28,50412,35.0,4.0,4.0,4.0,7.0,AT,3.0,9.0,1.0,9.0,1.0,0.0,5.0,3.0,0,5.0,5.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,6.0,169.0,80.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,8.0,7.0,3.0,2.0,7.0,7.0,7.0
29,50423,49.0,5.0,3.0,4.0,8.0,AT,30.0,4.0,3.0,8.0,1.0,0.0,4.0,1.0,0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,7.0,1.0,2.0,163.0,88.0,5.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,6.0,3.0,6.0
30,50427,36.0,3.0,3.0,3.0,8.0,AT,20.0,7.0,2.0,9.0,2.0,0.0,5.0,3.0,0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,158.0,54.0,5.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,6.0,6.0,0.0,2.0,7.0,0.0,8.0
33,50446,57.0,8.0,3.0,6.0,7.0,AT,30.0,9.0,2.0,6.0,2.0,0.0,2.0,1.0,0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,7.0,4.0,2.0,168.0,70.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,6.0,7.0,4.0,1.0,5.0,4.0,5.0
34,50465,67.0,0.0,1.0,4.0,9.0,AT,90.0,9.0,3.0,9.0,1.0,0.0,7.0,1.0,0,3.0,4.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,172.0,77.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,4.0,8.0,8.0,5.0,1.0,5.0,4.0,6.0
36,50489,42.0,6.0,3.0,6.0,9.0,AT,30.0,7.0,2.0,8.0,2.0,1.0,2.0,2.0,0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,7.0,6.0,2.0,175.0,68.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,8.0,9.0,9.0,5.0,3.0,9.0,9.0,7.0
37,50512,59.0,2.0,3.0,6.0,9.0,AT,15.0,8.0,1.0,10.0,3.0,0.0,6.0,2.0,0,6.0,5.0,1.0,2.0,6.0,3.0,1.0,1.0,2.0,6.0,1.0,7.0,158.0,60.0,2.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,5.0,5.0,7.0,5.0,1.0,3.0,5.0,8.0
38,50517,77.0,10.0,1.0,2.0,7.0,AT,120.0,8.0,3.0,10.0,1.0,0.0,1.0,2.0,1,4.0,5.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,7.0,6.0,7.0,160.0,63.0,5.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,6.0,7.0,5.0,1.0,4.0,8.0,8.0
39,50577,58.0,9.0,2.0,4.0,7.0,AT,30.0,3.0,2.0,10.0,1.0,0.0,2.0,2.0,1,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,7.0,5.0,1.0,183.0,81.0,4.0,5.0,1.0,1.0,2.0,0.0,3.0,3.0,4.0,6.0,8.0,4.0,1.0,4.0,5.0,9.0
40,50591,38.0,5.0,2.0,6.0,8.0,AT,15.0,5.0,3.0,7.0,2.0,0.0,6.0,1.0,0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,172.0,61.0,5.0,5.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,8.0,8.0,1.0,1.0,4.0,0.0,5.0
43,50623,34.0,9.0,2.0,5.0,9.0,AT,10.0,8.0,1.0,9.0,1.0,0.0,4.0,2.0,0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,167.0,73.0,5.0,5.0,1.0,1.0,1.0,0.0,4.0,5.0,9.0,10.0,9.0,8.0,1.0,7.0,9.0,10.0
44,50637,74.0,7.0,2.0,2.0,8.0,AT,120.0,8.0,2.0,7.0,1.0,0.0,3.0,1.0,1,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,6.0,6.0,180.0,95.0,3.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,8.0,8.0,5.0,3.0,6.0,8.0,5.0
45,50638,74.0,3.0,2.0,6.0,7.0,AT,30.0,4.0,3.0,9.0,2.0,0.0,7.0,1.0,1,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,179.0,81.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,4.0,5.0,6.0,7.0,2.0,1.0,6.0,6.0,5.0
47,50681,28.0,5.0,3.0,5.0,6.0,AT,140.0,3.0,2.0,8.0,2.0,0.0,7.0,2.0,1,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,4.0,4.0,190.0,105.0,3.0,4.0,0.0,1.0,3.0,0.0,3.0,3.0,4.0,7.0,7.0,2.0,1.0,4.0,4.0,6.0
49,50707,42.0,5.0,4.0,5.0,5.0,AT,30.0,5.0,2.0,5.0,2.0,0.0,7.0,3.0,0,5.0,6.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,7.0,6.0,7.0,165.0,86.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0
50,50714,60.0,1.0,2.0,3.0,6.0,AT,20.0,7.0,4.0,9.0,1.0,0.0,7.0,4.0,1,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,1.0,4.0,173.0,72.0,5.0,4.0,1.0,2.0,3.0,0.0,1.0,2.0,8.0,10.0,10.0,8.0,1.0,7.0,8.0,7.0
51,50730,60.0,6.0,1.0,6.0,9.0,AT,45.0,8.0,2.0,10.0,1.0,0.0,6.0,2.0,1,5.0,5.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,4.0,6.0,2.0,183.0,97.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,5.0,7.0,10.0,8.0,6.0,1.0,7.0,10.0,7.0
55,50868,20.0,2.0,4.0,6.0,3.0,AT,0.0,3.0,3.0,6.0,1.0,0.0,7.0,1.0,0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,6.0,7.0,180.0,80.0,5.0,5.0,1.0,1.0,2.0,0.0,1.0,2.0,5.0,5.0,8.0,2.0,2.0,7.0,6.0,8.0
56,50897,80.0,8.0,2.0,6.0,7.0,AT,15.0,7.0,3.0,9.0,2.0,0.0,2.0,1.0,0,3.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,7.0,163.0,68.0,2.0,5.0,1.0,1.0,2.0,0.0,3.0,4.0,9.0,10.0,10.0,9.0,1.0,8.0,9.0,9.0
57,50910,75.0,7.0,2.0,4.0,8.0,AT,30.0,5.0,2.0,8.0,1.0,0.0,3.0,1.0,0,6.0,1.0,1.0,2.0,6.0,4.0,1.0,3.0,2.0,2.0,6.0,6.0,156.0,60.0,3.0,5.0,1.0,1.0,2.0,0.0,1.0,4.0,10.0,10.0,10.0,10.0,1.0,9.0,9.0,9.0
60,50995,57.0,2.0,2.0,7.0,9.0,AT,90.0,7.0,2.0,9.0,1.0,0.0,7.0,3.0,0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,6.0,2.0,178.0,88.0,4.0,4.0,0.0,1.0,2.0,0.0,2.0,3.0,6.0,5.0,7.0,3.0,1.0,2.0,6.0,5.0
61,51015,76.0,7.0,1.0,2.0,8.0,AT,60.0,9.0,3.0,7.0,2.0,0.0,4.0,2.0,1,5.0,5.0,1.0,5.0,6.0,2.0,1.0,2.0,4.0,1.0,6.0,5.0,170.0,70.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,7.0,2.0,1.0,4.0,2.0,2.0
63,51042,43.0,0.0,3.0,4.0,7.0,AT,90.0,4.0,2.0,10.0,1.0,0.0,7.0,3.0,0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,5.0,169.0,69.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,5.0,8.0,8.0,2.0,2.0,2.0,5.0,8.0
66,51112,51.0,4.0,2.0,4.0,8.0,AT,40.0,7.0,2.0,8.0,2.0,0.0,2.0,3.0,1,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,184.0,96.0,3.0,4.0,1.0,1.0,3.0,0.0,3.0,3.0,5.0,7.0,8.0,5.0,1.0,6.0,8.0,8.0
67,51128,69.0,5.0,1.0,5.0,9.0,AT,120.0,7.0,2.0,9.0,2.0,0.0,6.0,3.0,1,5.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,6.0,184.0,108.0,5.0,5.0,1.0,2.0,1.0,0.0,2.0,2.0,5.0,8.0,8.0,4.0,1.0,5.0,4.0,1.0
68,51136,47.0,7.0,2.0,6.0,9.0,AT,45.0,8.0,2.0,7.0,1.0,0.0,4.0,3.0,0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,176.0,71.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,8.0,7.0,7.0,6.0,1.0,6.0,6.0,7.0
71,51191,74.0,0.0,2.0,3.0,5.0,AT,90.0,9.0,3.0,10.0,1.0,0.0,6.0,2.0,0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,165.0,65.0,5.0,5.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,10.0,0.0,0.0,2.0,8.0,8.0,8.0
72,51192,68.0,7.0,2.0,5.0,9.0,AT,60.0,7.0,1.0,9.0,2.0,0.0,3.0,2.0,0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,7.0,6.0,4.0,153.0,52.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,5.0,9.0,2.0,1.0,3.0,6.0,6.0
73,51221,36.0,0.0,3.0,5.0,9.0,AT,10.0,8.0,1.0,8.0,1.0,0.0,7.0,3.0,0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,169.0,59.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,6.0,8.0,10.0,5.0,1.0,8.0,7.0,3.0
74,51224,87.0,2.0,1.0,6.0,9.0,AT,60.0,7.0,1.0,9.0,2.0,0.0,6.0,2.0,1,3.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,170.0,70.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,7.0,8.0,6.0,1.0,5.0,8.0,8.0
75,51231,74.0,8.0,2.0,5.0,8.0,AT,45.0,7.0,2.0,8.0,2.0,0.0,2.0,2.0,0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,7.0,165.0,58.0,5.0,5.0,1.0,2.0,2.0,0.0,2.0,2.0,5.0,6.0,9.0,4.0,1.0,5.0,6.0,6.0
76,51259,24.0,10.0,3.0,7.0,7.0,AT,30.0,8.0,1.0,5.0,1.0,1.0,1.0,1.0,1,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,177.0,86.0,4.0,5.0,1.0,1.0,3.0,0.0,2.0,5.0,7.0,8.0,8.0,5.0,1.0,4.0,7.0,6.0
77,51262,59.0,3.0,2.0,5.0,7.0,AT,30.0,7.0,3.0,9.0,2.0,0.0,3.0,2.0,1,5.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,188.0,98.0,3.0,3.0,1.0,1.0,2.0,0.0,3.0,3.0,4.0,6.0,7.0,3.0,1.0,6.0,8.0,7.0
79,51322,32.0,2.0,3.0,5.0,8.0,AT,10.0,7.0,1.0,9.0,2.0,0.0,6.0,1.0,1,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,175.0,81.0,5.0,4.0,0.0,1.0,3.0,0.0,2.0,2.0,7.0,10.0,6.0,2.0,2.0,1.0,5.0,7.0
81,51440,45.0,0.0,1.0,4.0,8.0,AT,60.0,6.0,1.0,8.0,1.0,0.0,7.0,1.0,1,4.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,197.0,100.0,3.0,5.0,1.0,1.0,1.0,0.0,5.0,4.0,6.0,8.0,8.0,0.0,1.0,7.0,4.0,3.0
82,51455,44.0,4.0,2.0,4.0,7.0,AT,45.0,7.0,2.0,8.0,2.0,0.0,2.0,4.0,1,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,186.0,96.0,3.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,6.0,8.0,9.0,5.0,1.0,6.0,8.0,7.0
84,51504,20.0,0.0,3.0,7.0,5.0,AT,15.0,6.0,2.0,10.0,2.0,0.0,7.0,1.0,1,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,172.0,65.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,5.0,5.0,6.0
85,51506,33.0,7.0,1.0,4.0,9.0,AT,15.0,6.0,1.0,9.0,1.0,0.0,2.0,5.0,1,2.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,7.0,6.0,2.0,190.0,85.0,5.0,5.0,1.0,2.0,2.0,0.0,3.0,3.0,6.0,5.0,8.0,4.0,1.0,4.0,5.0,6.0
86,51521,27.0,6.0,3.0,6.0,9.0,AT,30.0,5.0,1.0,7.0,2.0,0.0,2.0,2.0,1,3.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,5.0,6.0,4.0,185.0,88.0,4.0,3.0,1.0,1.0,2.0,0.0,1.0,3.0,7.0,10.0,10.0,7.0,1.0,8.0,8.0,10.0
88,51578,73.0,8.0,2.0,5.0,9.0,AT,120.0,5.0,2.0,10.0,1.0,0.0,1.0,3.0,1,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,173.0,83.0,2.0,4.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,8.0,5.0,8.0
89,51581,62.0,4.0,2.0,4.0,9.0,AT,45.0,9.0,2.0,9.0,1.0,0.0,6.0,1.0,1,4.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,180.0,76.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,8.0,9.0,9.0,6.0,1.0,8.0,7.0,8.0
90,51596,58.0,3.0,2.0,6.0,8.0,AT,60.0,8.0,2.0,9.0,1.0,0.0,2.0,2.0,1,4.0,5.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,6.0,6.0,2.0,180.0,80.0,4.0,5.0,1.0,1.0,2.0,0.0,3.0,3.0,7.0,8.0,9.0,6.0,1.0,7.0,7.0,8.0
91,51650,90.0,9.0,3.0,4.0,10.0,AT,5.0,10.0,1.0,5.0,2.0,0.0,2.0,1.0,0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,7.0,1.0,7.0,168.0,84.0,3.0,5.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,6.0,4.0,1.0,1.0,10.0,1.0,1.0
92,51713,38.0,5.0,3.0,5.0,8.0,AT,15.0,7.0,2.0,9.0,2.0,0.0,2.0,4.0,1,4.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,187.0,89.0,3.0,4.0,1.0,1.0,3.0,0.0,3.0,3.0,4.0,7.0,8.0,5.0,1.0,6.0,9.0,8.0
93,51719,85.0,7.0,3.0,4.0,5.0,AT,35.0,4.0,4.0,9.0,3.0,0.0,3.0,1.0,0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,0.0,6.0,2.0,168.0,62.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,7.0,7.0,2.0,1.0,5.0,5.0,7.0
94,51720,74.0,6.0,2.0,3.0,4.0,AT,30.0,3.0,2.0,9.0,1.0,0.0,1.0,2.0,0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,6.0,4.0,161.0,61.0,5.0,5.0,1.0,1.0,1.0,0.0,4.0,2.0,7.0,7.0,3.0,3.0,1.0,4.0,2.0,5.0
95,51731,42.0,0.0,2.0,4.0,9.0,AT,0.0,8.0,2.0,6.0,1.0,0.0,7.0,4.0,1,3.0,3.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,1.0,6.0,3.0,186.0,86.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,5.0,6.0,7.0,7.0,5.0,1.0,6.0,5.0,5.0
96,51735,51.0,1.0,2.0,3.0,7.0,AT,40.0,5.0,3.0,7.0,2.0,1.0,7.0,1.0,0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,5.0,7.0,168.0,60.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,2.0,8.0,8.0,9.0,3.0,2.0,4.0,4.0,5.0
97,51736,76.0,8.0,2.0,4.0,6.0,AT,90.0,5.0,2.0,10.0,1.0,0.0,2.0,2.0,1,1.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,174.0,88.0,3.0,3.0,0.0,1.0,2.0,0.0,3.0,2.0,5.0,3.0,9.0,1.0,1.0,3.0,0.0,3.0
